개방자치단체코드,관리번호,자전거보관소명,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도,보관대수,설치연도,설치형태,차양막설치여부,공기주입기비치여부,공기주입기유형명,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자,데이터갱신구분,데이터갱신시점,최종수정시점
3000000,202030000000300064,롯데캐슬 천지인아파트,"서울특별시 종로구 종로 347 (숭인동, 롯데캐슬 천지인)",서울특별시 종로구 숭인동 76 롯데캐슬 천지인,37.57386,127.0161,30,2008,기타,Y,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:10:55
3000000,202030000000300065,카톨릭대학교,"서울특별시 종로구 창경궁로 296-12, 카톨릭대학교 (혜화동)",서울특별시 종로구 혜화동 90-1 카톨릭대학교,37.58572,127.0046,20,2016,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:12:11
3000000,202130000000300057,창경궁 홍화문 옆,"서울특별시 종로구 창경궁로 185, 창경궁 (와룡동)",서울특별시 종로구 와룡동 2-1 창경궁,37.58023,126.9962,6,2015,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300034,동묘앞역 6번 출구,"서울특별시 종로구 지봉로 19, 삼우텍스프라자 (창신동)",서울특별시 종로구 창신동 328-18 삼우텍스프라자,37.57174,127.0156,10,2010,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300068,경복궁역 3번 출구 앞,서울특별시 종로구 사직로 125 (적선동),서울특별시 종로구 적선동 107-1,37.57621,126.9728,8,2016,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300060,대신중고교,서울특별시 종로구 사직로 7 (행촌동),서울특별시 종로구 행촌동 206-29,37.57256,126.9611,14,2005,휀스형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300070,남도식당 앞,"서울특별시 종로구 종로 374-1, 오락실 (숭인동)",서울특별시 종로구 숭인동 228-4 오락실,37.57389,127.0190,8,2018,,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:18:07
3000000,202030000000300043,동묘앞역 7번출구 뒤,"서울특별시 종로구 지봉로 29, 금호팔레스 (창신동)",서울특별시 종로구 창신동 327-2 금호팔레스,37.57257,127.0156,9,2016,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:38:35
3000000,202030000000300071,독립문역 3번출구,"서울특별시 종로구 통일로 230 (무악동, 경희궁 롯데캐슬)",서울특별시 종로구 무악동 89 경희궁 롯데캐슬,37.57358,126.9589,12,2019,기타,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:19:08
3000000,202130000000300023,신설동역 12번출구,서울특별시 종로구 보문로 3 (숭인동),서울특별시 종로구 숭인동 1248,37.57591,127.023,10,2017,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300058,배화여자중학교 체육관 앞,"서울특별시 종로구 필운대로1길 34, 배화여자대학교,배화여자중,고등학교 (필운동)","서울특별시 종로구 필운동 12 배화여자대학교,배화여자중,고등학교",37.57833,126.9673,10,2013,기타,Y,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:58:02
3000000,202030000000300017,독립문역 2번출구,서울특별시 종로구 통일로 252 (무악동),서울특별시 종로구 무악동 42,37.57481,126.9578,5,2014,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:53:55
3000000,202030000000300039,종로구민회관,"서울특별시 종로구 지봉로5길 7-5, 종로구구민회관, 보건소통합청 (창신동)","서울특별시 종로구 창신동 222-8 종로구구민회관, 보건소통합청",37.57346,127.0144,14,2012,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:29:47
3000000,202030000000300073,동대문역 3번출구,"서울특별시 종로구 종로 311, (주)우리은행 창신동지점 (창신동)",서울특별시 종로구 창신동 530-1 (주)우리은행 창신동지점,37.57210,127.0123,10,2019,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:22:09
3000000,202030000000300014,세검정교차로(상명대 방향),"서울특별시 종로구 홍지문2길 20, 상명대학교 (홍지동)",서울특별시 종로구 홍지동 7-1 상명대학교,37.59995,126.9578,22,2010,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:50:06
3000000,202130000000300040,동성중고앞-1,"서울특별시 종로구 대학로 156, 동성중고교,카톨릭청소년회관 (혜화동)","서울특별시 종로구 혜화동 90-7 동성중고교,카톨릭청소년회관",37.58493,127.0015,7,2010,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300015,세검정초교 후문 육교 하부,"서울특별시 종로구 세검정로9길 1, 서울세검정초등학교 (신영동)",서울특별시 종로구 신영동 219-4 서울세검정초등학교,37.60340,126.9609,10,2015,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:51:10
3000000,202130000000300010,연지공원,"서울특별시 종로구 율곡로 194, 현대그룹빌딩 동관 (연지동)",서울특별시 종로구 연지동 1-7 현대그룹빌딩 동관,37.57596,127.0008,3,2017,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300003,사직동 벽산 광화문시대 앞,"서울특별시 종로구 사직로8길 42 (내수동, 광화문시대)",서울특별시 종로구 내수동 74 광화문시대,37.57382,126.9731,13,2016,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:35:49
3000000,202030000000300019,창경궁 홍화문 옆,"서울특별시 종로구 창경궁로 185, 창경궁 (와룡동)",서울특별시 종로구 와룡동 2-1 창경궁,37.58023,126.9962,6,2015,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:58:49
3000000,202130000000300025,신설동로터리 남측,서울특별시 종로구 종로 412 (숭인동),서울특별시 종로구 숭인동 1365,37.57528,127.0229,14,2016,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300028,창신역 3번 출구,서울특별시 종로구 동망산길 4 (숭인동),서울특별시 종로구 숭인동 5-12,37.57947,127.0154,10,2008,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300025,종각역 2번 출구,"서울특별시 종로구 종로 47, 한국스탠다드차타드은행 빌딩 (공평동)",서울특별시 종로구 공평동 100 한국스탠다드차타드은행 빌딩,37.57041,126.9827,10,2016,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:12:10
3000000,202030000000300062,무악현대아파트,"서울특별시 종로구 통일로 246-10, 무악현대아파트 (무악동)",서울특별시 종로구 무악동 82 무악현대아파트,37.57520,126.9606,26,2009,기타,Y,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:09:08
3000000,202130000000300050,종각역 3-1번 출구,"서울특별시 종로구 종로 51, 종로타워 (종로2가)",서울특별시 종로구 종로2가 6 종로타워,37.5707,126.983,20,2008,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300013,삼청공원 정문,서울특별시 종로구 북촌로 134-1 (삼청동),서울특별시 종로구 삼청동 산 2-1,37.58833,126.9816,6,1998,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:48:42
3000000,202030000000300048,창신역 3번 출구,서울특별시 종로구 동망산길 4 (숭인동),서울특별시 종로구 숭인동 5-12,37.57947,127.0154,10,2008,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:43:52
3000000,202130000000300063,삼청공원 정문,서울특별시 종로구 북촌로 134-1 (삼청동),서울특별시 종로구 삼청동 산 2-1,37.58833,126.9816,6,1998,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300026,종각역 3-1번 출구,"서울특별시 종로구 종로 51, 종로타워 (종로2가)",서울특별시 종로구 종로2가 6 종로타워,37.57070,126.9830,20,2008,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:13:32
3000000,202130000000300044,이화사거리,"서울특별시 종로구 대학로 60, 동마루빌딩(현대자동차) (연건동)",서울특별시 종로구 연건동 178-1 동마루빌딩(현대자동차),37.57648,127.0022,20,2013,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300069,경복궁역 2번 출구 앞,서울특별시 종로구 자하문로 1 (내자동),서울특별시 종로구 내자동 67-1,37.57641,126.9723,10,2012,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300064,광화문역 8번출구,"서울특별시 종로구 새문안로5길 19, 로얄빌딩 (당주동)",서울특별시 종로구 당주동 5 로얄빌딩,37.57198,126.9742,11,2016,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300072,종로도서관 앞,"서울특별시 종로구 사직로9길 15-14, 종로도서관 (사직동)",서울특별시 종로구 사직동 1-28 종로도서관,37.57609,126.968,16,2009,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300054,청계천로 영도교 북측,"서울특별시 종로구 청계천로 369, 삼일아파트 (창신동)",서울특별시 종로구 창신동 400-4 삼일아파트,37.57038,127.0172,6,2018,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:49:40
3000000,202030000000300038,혜화동로터리,서울특별시 종로구 창경궁로 269-1 (혜화동),서울특별시 종로구 혜화동 122-5,37.58541,127.0007,7,2015,단독형,N,Y,태양광식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:28:34
3000000,202030000000300004,종로도서관 앞,"서울특별시 종로구 사직로9길 15-14, 종로도서관 (사직동)",서울특별시 종로구 사직동 1-28 종로도서관,37.57609,126.9680,16,2009,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:36:55
3000000,202030000000300036,동성중고앞-1,"서울특별시 종로구 대학로 156, 동성중고교,카톨릭청소년회관 (혜화동)","서울특별시 종로구 혜화동 90-7 동성중고교,카톨릭청소년회관",37.58493,127.0015,7,2010,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:26:21
3000000,202030000000300029,청계천로 청계2가교차로,"서울특별시 종로구 청계천로 93, 파고다타워 (관철동)",서울특별시 종로구 관철동 5-13 파고다타워,37.56851,126.9877,4,2016,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:17:22
3000000,202130000000300039,동성중고앞-2,"서울특별시 종로구 대학로 156, 동성중고교,카톨릭청소년회관 (혜화동)","서울특별시 종로구 혜화동 90-7 동성중고교,카톨릭청소년회관",37.5852,127.0014,26,2010,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300001,경복고등학교 정문 옆,"서울특별시 종로구 자하문로28가길 9, 경복고등학교 (청운동)",서울특별시 종로구 청운동 89-9 경복고등학교,37.58706,126.9715,7,2008,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:30:50
3000000,202130000000300014,롯데캐슬 천지인아파트,"서울특별시 종로구 종로 347 (숭인동, 롯데캐슬 천지인)",서울특별시 종로구 숭인동 76 롯데캐슬 천지인,37.57386,127.0161,30,2008,기타,Y,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300047,동묘앞역 1번 출구,"서울특별시 종로구 종로 347 (숭인동, 롯데캐슬 천지인)",서울특별시 종로구 숭인동 76 롯데캐슬 천지인,37.57316,127.0159,13,2008,휀스형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:42:55
3000000,202030000000300012,광화문역 8번출구,"서울특별시 종로구 새문안로5길 19, 로얄빌딩 (당주동)",서울특별시 종로구 당주동 5 로얄빌딩,37.57198,126.9742,11,2016,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:47:33
3000000,202030000000300033,혜화역 3번출구,서울특별시 종로구 대학로 103 (연건동),서울특별시 종로구 연건동 28-2,37.58082,127.0019,7,2016,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:21:54
3000000,202130000000300043,혜화역 3번출구,서울특별시 종로구 대학로 103 (연건동),서울특별시 종로구 연건동 28-2,37.58082,127.0019,7,2016,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300059,배화여자중학교 체육관 뒤,"서울특별시 종로구 필운대로1길 34, 배화여자대학교,배화여자중,고등학교 (필운동)","서울특별시 종로구 필운동 12 배화여자대학교,배화여자중,고등학교",37.57833,126.9673,30,2013,기타,Y,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 15:05:02
3000000,202130000000300059,독립문역 2번출구,서울특별시 종로구 통일로 252 (무악동),서울특별시 종로구 무악동 42,37.57481,126.9578,5,2014,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300007,경복궁역 2번 출구 앞,서울특별시 종로구 자하문로 1 (내자동),서울특별시 종로구 내자동 67-1,37.57641,126.9723,10,2012,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:41:05
3000000,202130000000300036,동대문역 6번출구 뒤,서울특별시 종로구 종로 294 (창신동),서울특별시 종로구 창신동 464-6,37.57158,127.0106,17,2009,거치형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300021,올림픽국민생활기념관,"서울특별시 종로구 성균관로 91, 국민생활관 (혜화동)",서울특별시 종로구 혜화동 1-21 국민생활관,37.58984,126.9988,10,2016,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300012,서울직업전문학교,"서울특별시 종로구 종로 375, 승문빌딩 (숭인동)",서울특별시 종로구 숭인동 165 승문빌딩,37.57414,127.0191,13,2017,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300006,경복궁역 1번출구 앞,서울특별시 종로구 사직로 121 (내자동),서울특별시 종로구 내자동 61-1,37.57624,126.9722,15,2015,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 13:39:10
3000000,202130000000300070,경복궁역 1번출구 앞,서울특별시 종로구 사직로 121 (내자동),서울특별시 종로구 내자동 61-1,37.57624,126.9722,15,2015,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300052,신설동역 11번출구,"서울특별시 종로구 종로 413, 동보빌딩 (숭인동)",서울특별시 종로구 숭인동 1252 동보빌딩,37.57574,127.0229,10,2017,단독형,N,N,,N,02-2148-3277,종로구 교톻행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:47:25
3000000,202030000000300037,동성중고앞-2,"서울특별시 종로구 대학로 156, 동성중고교,카톨릭청소년회관 (혜화동)","서울특별시 종로구 혜화동 90-7 동성중고교,카톨릭청소년회관",37.58520,127.0014,26,2010,단독형,N,Y,수동식,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:27:33
3000000,202030000000300041,동대문지하쇼핑센터 1번출구,"서울특별시 종로구 청계천로 295, 동대문신발상가 (창신동)",서울특별시 종로구 창신동 436-79 동대문신발상가,37.56992,127.0102,10,2018,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:36:10
3000000,202130000000300011,국립민속박물관,"서울특별시 종로구 삼청로 37, 국립민속박물관 (세종로)",서울특별시 종로구 세종로 1-1 국립민속박물관,37.57952,126.9787,4,2018,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300037,종로구민회관,"서울특별시 종로구 지봉로5길 7-5, 종로구구민회관, 보건소통합청 (창신동)","서울특별시 종로구 창신동 222-8 종로구구민회관, 보건소통합청",37.57346,127.0144,14,2012,휀스형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202030000000300056,재동초등학교 후문,"서울특별시 종로구 북촌로4길 7, 서울재동초등학교 (가회동)",서울특별시 종로구 가회동 210 서울재동초등학교,37.58001,126.9851,5,2016,거치형,N,N,,N,02-2148-3277,종로구 교통행정과,2020-07-10,I,2026-05-15 18:45:05,2020-07-13 14:54:00
3000000,202130000000300015,아남아파트(1단지),"서울특별시 종로구 창경궁로 265 (명륜2가, 아남아파트)",서울특별시 종로구 명륜2가 4 아남아파트,37.58556,126.9991,40,2008,,Y,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
3000000,202130000000300033,동묘앞역 7번출구 뒤,"서울특별시 종로구 지봉로 29, 금호팔레스 (창신동)",서울특별시 종로구 창신동 327-2 금호팔레스,37.57257,127.0156,9,2016,단독형,N,N,,N,02-2148-3277,종로구 교통행정과,2021-07-05,I,2026-05-15 18:45:05,2021-07-05 09:44:58
